Tempo;Forca Motriz;Tracao;Energia
45,0234915;5000;5000;0,2603801299
45,026022;5000;5000;0,2603801299
45,0279385;5000;5000;0,2603801299
45,0299833;5000;5000;0,2603801299
45,0335036;5000;5000;0,2603801299
45,0355137;5000;5000;0,2603801299
45,0385507;5000;5000;0,2603801299
45,0404507;5000;5000;0,2603801299
45,042457;5000;5000;0,2603801299
45,0449867;5000;5000;0,2603801299
45,0470068;5000;5000;0,2603801299
45,0489768;5000;5000;0,2603801299
45,0509808;5000;5000;0,2603801299
45,0535513;5000;5000;0,2603801299
45,0556712;5000;5000;0,2603801299
45,0585936;5000;5000;0,2603801299
45,0605474;5000;5000;0,2603801299
45,0625656;5000;5000;0,2603801299
45,0646602;5000;5000;0,2603801299
45,0676945;5000;5000;0,2603801299
45,0706367;5000;5000;0,2603801299
45,0727231;5000;5000;0,2603801299
45,0758942;5000;5000;0,2603801299
45,0779362;5000;5000;0,2603801299
45,0798919;5000;5000;0,2603801299
45,0819305;5000;5000;0,2603801299
45,0844246;5000;5000;0,2603801299
45,0874652;5000;5000;0,2603801299
45,0894806;5000;5000;0,2603801299
45,0914776;5000;5000;0,2603801299
45,0934781;5000;5000;0,2603801299
45,0960464;5000;5000;0,2603801299
45,0979843;5000;5000;0,2603801299
45,099937;5000;5000;0,2603801299
45,1019857;5000;5000;0,2603801299
45,104798;5000;5000;0,2603801299
45,1065369;5000;5000;0,2603801299
45,1085345;5000;5000;0,2603801299
45,1110467;5000;5000;0,2603801299
45,1135293;5000;5000;0,2603801299
45,1155318;5000;5000;0,2603801299
45,1175438;5000;5000;0,2603801299
45,1195381;5000;5000;0,2603801299
45,1215372;5000;5000;0,2603801299
45,1235249;5000;5000;0,2603801299
45,126033;5000;5000;0,2603801299
45,1280452;5000;5000;0,2603801299
45,130056;5000;5000;0,2603801299
45,1320637;5000;5000;0,2603801299
45,1346103;5000;5000;0,2603801299
45,1376096;5000;5000;0,2603801299
45,1396541;5000;5000;0,2603801299
45,1415771;5000;5000;0,2603801299
45,1436002;5000;5000;0,2603801299
45,1460963;5000;5000;0,2603801299
45,1491138;5000;5000;0,2603801299
45,1510839;5000;5000;0,2603801299
45,1536199;5000;5000;0,2603801299
